Surname;Given names;Nation;Flights;time_in_space;sex_or_genderLabel;birth;death;age
Tingle;"Scott David ""Maker""";USA;1;242238;male;19.7.1965;;
Vande Hei;Mark Thomas;USA;1;242234;male;10.11.1966;;
Furukawa;Satoshi;Japan;1;240852;male;4.4.1964;;
Serova;Yelena Olegovna;Russia;1;240822;female;22.4.1976;;
Anderson;Clayton Conrad;USA;2;240310;male;23.2.1959;;
Hopkins;Michael Scott;USA;1;239425;male;28.11.1968;;
Parmitano;Luca Salvo;Italy;2;239417;male;27.9.1976;;
Hadfield;Chris Austin;Canada;3;238578;male;29.8.1959;;
Wiseman;Gregory Reid;USA;1;238081;male;11.11.1975;;
Walker;Shannon;USA;1;235151;female;4.6.1965;;
Creamer;"Timothy John ""TJ""";USA;1;235052;male;15.11.1959;;
Marshburn;"Thomas Henry ""Tom""";USA;2;232263;male;29.8.1960;;
Blaha;John Elmer;USA;5;232005;male;26.8.1942;;
Shepherd;William McMichael;USA;4;229429;male;26.7.1949;;
Kondratiyev;Dmitri Yuriyevich;Russia;1;229397;male;25.5.1969;;
Ford;Kevin Anthony;USA;2;226868;male;7.7.1960;;
Magnus;Sandra Hall;USA;3;226603;female;30.10.1964;;
Bresnik;"Randolph James ""Randy""";USA;2;215292;male;11.9.1967;;
Ivanchenkov;Aleksandr Sergeyevich;USSR;2;212437;male;28.9.1940;;
Dzhanibekov;Vladimir Aleksandrovich;USSR;5;209756;male;13.5.1942;;
Artsebarsky;Anatoli Pavlovich;USSR;1;208281;male;9.9.1956;;
Tarelkin;Yevgeni Igorevich;Russia;1;206895;male;29.12.1974;;
Culbertson;Frank Lee, Jr.;USA;3;206810;male;15.5.1949;;
Linenger;Jerry Michael;USA;2;206089;male;16.1.1955;;
Lindgren;Kjell Norwood;USA;1;204009;male;23.1.1973;;
Yui;Kimiya;Japan;1;204009;male;30.1.1970;;
Hoshide;Akihiko;Japan;2;202646;male;28.12.1968;;
Thagard;Norman Earl;USA;5;202405;male;3.7.1943;;
Fischer;"Jack David ""2fish""";USA;1;195488;male;23.1.1974;;
Grechko;Georgi Mikhailovich;USSR;3;194192;male;25.5.1931;8.4.2017;86
Tani;Daniel Michio;USA;2;189724;male;1.2.1961;;
Revin;Sergei Nikolayevich;Russia;1;179991;male;12.1.1966;;
Onishi;Takuya;Japan;1;165741;male;22.12.1975;;
Rubins;"Kathleen Hallisey ""Kate""";USA;1;165741;female;14.10.1978;;
Reisman;"Garrett Erin ""Big G""";USA;2;154275;male;10.2.1968;;
Stott;Nicole Marie Passonno;USA;2;148668;female;19.11.1962;;
Carr;"Gerald Paul ""Jerry""";USA;1;121035;male;22.8.1932;;
Gibson;Edward George;USA;1;121035;male;8.11.1936;;
Pogue;William Reid;USA;1;121035;male;23.1.1930;3.3.2014;84
Zalyotin;Sergei Viktorovich;USSR;2;120514;male;21.4.1962;;
Sevastiyanov;Vitali Ivanovich;USSR;2;116178;male;8.7.1935;5.4.2010;75
Klimuk;Pyotr Iliyich;USSR;3;113417;male;10.7.1942;;
Garriott;Owen Kay;USA;2;100496;male;22.11.1930;15.4.2019;89
Bean;Alan LaVern;USA;2;100305;male;15.3.1932;26.5.2018;86
Eyharts;Léopold Paul Pierre;France;2;99208;male;28.4.1957;;
Lousma;Jack Robert;USA;2;97153;male;29.2.1936;;
Rominger;Kent Vernon;USA;5;96654;male;7.8.1956;;
Chang-Diaz;Franklin Ramon;USA;7;96135;male;5.4.1950;;
Wetherbee;"James Donald ""Wexbee""";USA;6;95660;male;27.11.1952;;
Vasyutin;Vladimir Vladimirovich;USSR;1;93472;male;8.3.1952;19.7.2002;50
Cockrell;"Kenneth Dale ""Taco""";USA;5;92904;male;9.4.1950;;
Jernigan;"Tamara Elizabeth ""Tammy""";USA;5;90804;female;7.5.1959;;
Lindsey;Steven Wayne;USA;5;90633;male;24.8.1960;;
Linnehan;Richard Michael;USA;4;85678;male;19.9.1957;;
Grunsfeld;John Mace;USA;5;84421;male;10.10.1958;;
Ross;Jerry Lynn;USA;7;83571;male;20.1.1948;;
Parazynski;Scott Edward;USA;5;83011;male;28.7.1961;;
Brown;"Curtis Lee, Jr. ""Curt""";USA;6;82984;male;11.3.1956;;
Ivins;Marsha Sue;USA;5;80506;female;15.4.1951;;
Kelly;Mark Edward;USA;4;77882;male;21.2.1964;;
Musgrave;Franklin Story;USA;6;76915;male;19.8.1935;;
Jones;Thomas David;USA;4;76368;male;22.1.1955;;
Kregel;Kevin Richard;USA;4;75980;male;16.9.1956;;
Halsell;James Donald, Jr.;USA;5;75510;male;29.9.1956;;
Volynov;Boris Valentinovich;USSR;2;75317;male;18.12.1934;;
Altman;"Scott Douglas ""Scooter"" ""Bear""";USA;4;74207;male;15.8.1959;;
Sturckow;"Frederick Wilford ""Rick""";USA;4;74014;male;11.8.1961;;
Lawrence;Wendy Barrien;USA;4;73674;female;2.7.1959;;
Hoffman;Jeffrey Alan;USA;5;72713;male;2.11.1944;;
Dunbar;Bonnie Jeanne;USA;5;72503;female;3.3.1949;;
Merbold;Ulf Dietrich;Germany;3;71856;male;20.6.1941;;
Zholobov;Vitali Mikhailovich;USSR;1;70943;male;18.6.1937;;
Voss;Janice Elaine;USA;5;70787;female;8.10.1956;6.2.2012;56
Conrad;"Charles, Jr. ""Pete""";USA;4;70778;male;2.6.1930;8.7.1999;69
Gorie;Dominic Lee Pudwill;USA;4;70038;male;2.5.1957;;
Robinson;Stephen Kern;USA;4;69708;male;26.10.1955;;
Jing;Haipeng;China;3;68781;male;24.10.1966;;
Horowitz;"Scott Jay ""Doc""";USA;4;68318;male;24.3.1957;;
Wisoff;"Peter Jeffrey Kelsay ""Jeff""";USA;4;63847;male;16.8.1958;;
Tanner;"Joseph Richard ""Joe""";USA;4;62714;male;21.1.1950;;
Chrétien;Jean-Loup Jacques Marie;France;3;62597;male;20.8.1938;;
Newman;James Hansen;USA;4;62527;male;16.10.1956;;
Thomas;Donald Alan;USA;4;62411;male;6.5.1955;;
Gernhardt;Michael Landon;USA;4;62339;male;4.5.1956;;
Wilson;Stephanie Diana;USA;3;61906;female;27.9.1966;;
Henricks;"Terence Thomas ""Tom""";USA;4;61597;male;5.7.1952;;
Nicollier;Claude;Switzerland;4;61204;male;2.9.1944;;
Wilcutt;Terrence Wade;USA;4;60481;male;31.10.1949;;
Jett;Brent Ward, Jr.;USA;4;60118;male;5.10.1958;;
Currie;Nancy Jane Sherlock;USA;4;59972;female;29.12.1958;;
Polansky;"Mark Lewis ""Roman""";USA;3;59689;male;2.6.1956;;
Ochoa;Ellen Lauri;USA;4;58777;female;10.5.1958;;
Duffy;Brian;USA;4;58655;male;20.6.1953;;
Thornton;Kathryn Ryan Cordell;USA;4;58513;female;17.8.1952;;
Ferguson;Christopher John;USA;3;58203;male;1.9.1961;;
Bowen;Stephen Gerard;USA;3;58201;male;13.2.1964;;
Baker;Michael Allen;USA;4;57898;male;27.10.1953;;
Smith;Steven Lee;USA;4;57616;male;30.12.1958;;
Forrester;Patrick Graham;USA;3;57016;male;31.3.1957;;
Searfoss;Richard Alan;USA;3;56358;male;5.6.1956;29.9.2018;62
Precourt;Charles Joseph;USA;4;55936;male;29.6.1955;;
Melroy;Pamela Ann;USA;3;55923;female;17.9.1961;;
Godwin;Linda Maxine;USA;4;55092;female;2.7.1952;;
Cabana;Robert Donald;USA;4;54642;male;23.1.1943;;
Allen;"Andrew Michael ""Andy""";USA;3;54251;male;4.8.1955;;
Curbeam;"Robert Lee, Jr. ""Beamer""";USA;3;54150;male;5.3.1962;;
Gubarev;Aleksei Aleksandrovich;USSR;2;53975;male;29.3.1931;21.2.2015;84
Walheim;Rex Joseph;USA;3;52351;male;10.10.1962;;
Collins;"Eileen Marie ""MOM""";USA;4;52329;female;19.11.1956;;
Hobaugh;"Charles Owen ""Scorch""";USA;3;52306;male;5.11.1961;;
Gibson;"Robert Lee ""Hoot""";USA;5;52095;male;30.10.1946;;
Vittori;Roberto;Italy;3;51145;male;15.10.1964;;
Reilly;"James Francis II ""J.R.""";USA;3;51033;male;18.3.1954;;
Sellers;Piers John;USA;3;50942;male;11.4.1955;23.12.2016;61
Apt;"Jerome III ""Jay""";USA;4;50829;male;28.4.1949;;
Young;John Watts;USA;6;50139;male;24.9.1930;5.1.2018;88
Casper;John Howard;USA;4;49551;male;9.7.1943;;
Harbaugh;Gregory Jordan;USA;4;49079;male;15.4.1956;;
Akers;Thomas Dale;USA;4;48883;male;20.5.1951;;
Oswald;Stephen Scot;USA;3;48870;male;30.6.1951;;
Richards;"Richard Noel ""Dick""";USA;4;48809;male;24.8.1946;;
Kavandi;Janet Lynn;USA;3;48728;female;17.7.1959;;
Weitz;Paul Joseph;USA;2;47593;male;25.7.1932;22.10.2017;85
Lee;Mark Charles;USA;4;47392;male;14.8.1952;;
Brandenstein;Daniel Charles;USA;4;47343;male;17.1.1943;;
Bloomfield;"Michael John ""Bloomer""";USA;3;46739;male;16.3.1959;;
Chen;Dong;China;1;46469;male;12.12.1978;;
Hawley;Steven Alan;USA;5;46241;male;12.12.1951;;
Hieb;Richard James;USA;3;45994;male;21.9.1955;;
Chawla;Kalpana;USA;2;45534;female;17.3.1962;1.2.2003;41
Johnson;"Gregory Harold ""Box""";USA;2;45349;male;12.5.1962;;
Doi;Takao;Japan;2;45285;male;18.9.1954;;
Brand;Vance DeVoe;USA;4;44762;male;9.5.1931;;
Barry;Daniel Thomas;USA;3;44065;male;30.12.1953;;
Gorbatko;Viktor Vasiliyevich;USSR;3;43967;male;3.12.1934;17.5.2017;83
Walker;David Mathieson;USA;4;43467;male;20.5.1944;23.4.2001;57
Seddon;Margaret Rhea;USA;3;43341;female;8.11.1947;;
Nagel;Steven Ray;USA;4;43294;male;27.10.1946;21.8.2014;68
Lovell;"James Arthur, Jr. ""Shaky""";USA;4;42903;male;25.3.1928;;
Low;George David;USA;3;42845;male;19.2.1956;15.3.2008;52
Meade;Carl Joseph;USA;3;42734;male;16.11.1950;;
Hire;"Kathryn Patricia ""Kay""";USA;2;42716;female;26.8.1959;;
Behnken;Robert Louis;USA;2;42497;male;28.7.1970;;
Chilton;"Kevin Patrick ""Chilly""";USA;3;42262;male;3.11.1954;;
Garneau;Joseph Jean-Pierre Marc;Canada;3;41879;male;23.2.1949;;
Zamka;"George David ""Zambo""";USA;2;41549;male;29.6.1962;;
